,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,rikitea,pf,-23.12,-134.97,70.41,100.0,92.0,10.04
1,srednekolymsk,ru,67.46,153.71,76.62,32.0,12.0,3.11
2,carnarvon,au,-24.87,113.63,63.66,90.0,0.0,15.79
4,yulara,au,-25.24,130.99,59.0,41.0,40.0,9.17
6,noumea,nc,-22.28,166.46,73.4,53.0,75.0,8.05
7,mittagong,au,-34.45,150.45,59.0,51.0,0.0,4.7
8,busselton,au,-33.64,115.35,60.24,100.0,64.0,5.23
9,lorengau,pg,-2.02,147.27,84.9,98.0,12.0,6.02
10,petrozavodsk,ru,61.79,34.39,55.4,71.0,64.0,6.71
11,avarua,ck,-21.21,-159.78,78.8,83.0,40.0,5.82
13,albany,au,-35.02,117.88,57.63,94.0,48.0,4.23
15,kapaa,us,22.08,-159.32,82.4,69.0,75.0,12.75
16,nikolskoye,ru,59.7,30.79,64.4,77.0,0.0,8.95
17,lubao,cd,-5.39,25.75,77.7,53.0,76.0,2.59
18,keuruu,fi,62.26,24.71,55.4,100.0,90.0,4.7
19,aguilas,es,37.41,-1.58,67.17,88.0,76.0,7.07
20,vaini,to,-21.2,-175.2,78.8,74.0,75.0,8.05
21,hermanus,za,-34.42,19.24,53.31,92.0,48.0,6.13
22,bluff,nz,-46.6,168.33,45.48,100.0,0.0,11.88
23,ushuaia,ar,-54.81,-68.31,30.2,86.0,90.0,4.7
24,georgetown,sh,-7.93,-14.42,77.7,100.0,64.0,18.59
26,san patricio,mx,19.22,-104.7,82.4,78.0,75.0,11.41
27,nioki,cd,-2.72,17.69,73.56,86.0,68.0,3.38
28,punta arenas,cl,-53.16,-70.91,33.8,74.0,75.0,28.86
30,fez,ma,34.03,-5.02,62.6,93.0,24.0,2.24
31,coquimbo,cl,-29.95,-71.34,48.2,93.0,0.0,5.82
32,geraldton,au,-28.77,114.6,64.4,72.0,12.0,10.29
34,puerto ayora,ec,-0.74,-90.35,71.31,100.0,8.0,12.17
35,muisne,ec,0.61,-80.02,70.77,96.0,32.0,3.38
36,new norfolk,au,-42.78,147.06,55.4,58.0,75.0,10.29
37,bredasdorp,za,-34.53,20.04,60.51,87.0,92.0,19.89
38,hithadhoo,mv,-0.6,73.08,82.83,100.0,48.0,8.75
39,sinor,in,21.91,73.34,84.72,70.0,92.0,10.27
40,grindavik,is,63.84,-22.43,46.4,100.0,90.0,17.22
41,atuona,pf,-9.8,-139.03,80.67,100.0,0.0,15.97
42,katsuura,jp,33.93,134.5,78.8,61.0,75.0,4.7
43,southbridge,nz,-43.81,172.25,46.4,65.0,0.0,6.93
44,east london,za,-33.02,27.91,65.19,100.0,0.0,16.35
45,isangel,vu,-19.55,169.27,72.84,100.0,24.0,13.06
47,talnakh,ru,69.49,88.39,55.74,85.0,76.0,5.39
